#,Wilayah,Jumlah Stok (Kg),tahun_filter,diambil_pada_utc,Jenis Komoditas,Nama,Alamat
1.0,Provinsi DI Yogyakarta,0.0,2019,2026-08-30T15:26:57.755825+00:00,,,
2.0,Kabupaten Kulon Progo,0.0,2019,2026-08-30T15:26:57.755825+00:00,,,
3.0,Kabupaten Bantul,0.0,2019,2026-08-30T15:26:57.755825+00:00,,,
4.0,Kabupaten Gunung Kidul,0.0,2019,2026-08-30T15:26:57.755825+00:00,,,
5.0,Kota Yogyakarta,101.46,2019,2026-08-30T15:26:57.755825+00:00,,,
6.0,Kabupaten Sleman,182.24,2019,2026-08-30T15:26:57.755825+00:00,,,
,Total,283.7,2019,2026-08-30T15:26:57.755825+00:00,,,
1.0,,89.45,2019,2026-08-30T15:26:57.756278+00:00,Gabah Kering Giling (GKG),,
2.0,,135.19,2019,2026-08-30T15:26:57.756278+00:00,Beras Medium,,
3.0,,59.02,2019,2026-08-30T15:26:57.756278+00:00,Beras Premium,,
4.0,,0.0,2019,2026-08-30T15:26:57.756278+00:00,Jagung,,
5.0,,15.0,2019,2026-08-30T15:26:57.756278+00:00,Kedelai,,
,,283.675,2019,2026-08-30T15:26:57.756278+00:00,Total,,
1.0,Provinsi DI Yogyakarta,,2019,2026-08-30T15:26:57.756601+00:00,,Dinas Pertanian dan Ketahanan Pangan DIY,Jl. Gondosuli No. 6 Yogyakarta
2.0,Kabupaten Kulon Progo,,2019,2026-08-30T15:26:57.756601+00:00,,Among Tani,"Pencengan , Kedundang, Temon"
3.0,Kabupaten Kulon Progo,,2019,2026-08-30T15:26:57.756601+00:00,,Asih,"Plono Timur, Pagerharjo, Samigaluh"
4.0,Kabupaten Kulon Progo,,2019,2026-08-30T15:26:57.756601+00:00,,Asri Lestari,"Kepiton, Banjar Asri, Kalibawang"
5.0,Kabupaten Kulon Progo,,2019,2026-08-30T15:26:57.756601+00:00,,Catur Legowo,"Sidatan, Kalidengen, Temon"
6.0,Kabupaten Kulon Progo,,2019,2026-08-30T15:26:57.756601+00:00,,Cipta Boga,Galur Kulon Progo
7.0,Kabupaten Kulon Progo,,2019,2026-08-30T15:26:57.756601+00:00,,Dinas Pertanian dan Pangan,"Jl. Sugiman No.21, Serut, Pengasih, Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55652"
8.0,Kabupaten Kulon Progo,,2019,2026-08-30T15:26:57.756601+00:00,,Jatimakmur,"Jimatan, Jatirejo, Lendah"
