musim,tahun,suhu_permukaan_laut_c,anomali_nino34_c,status_enso,diambil_pada_utc
DJF,1950,25.01,-1.32,La Nina moderat,2026-08-30T08:49:44.391354+00:00
JFM,1950,25.36,-1.2,La Nina moderat,2026-08-30T08:49:44.391379+00:00
FMA,1950,25.88,-1.12,La Nina moderat,2026-08-30T08:49:44.391389+00:00
MAM,1950,26.24,-1.08,La Nina moderat,2026-08-30T08:49:44.391395+00:00
AMJ,1950,26.35,-1.1,La Nina moderat,2026-08-30T08:49:44.391402+00:00
MJJ,1950,26.32,-0.9,La Nina lemah,2026-08-30T08:49:44.391409+00:00
JJA,1950,26.24,-0.62,La Nina lemah,2026-08-30T08:49:44.391420+00:00
JAS,1950,25.94,-0.57,La Nina lemah,2026-08-30T08:49:44.391428+00:00
ASO,1950,25.76,-0.56,La Nina lemah,2026-08-30T08:49:44.391434+00:00
SON,1950,25.6,-0.62,La Nina lemah,2026-08-30T08:49:44.391441+00:00
OND,1950,25.55,-0.66,La Nina lemah,2026-08-30T08:49:44.391448+00:00
NDJ,1950,25.41,-0.79,La Nina lemah,2026-08-30T08:49:44.391454+00:00
DJF,1951,25.67,-0.66,La Nina lemah,2026-08-30T08:49:44.391460+00:00
JFM,1951,26.2,-0.36,Netral,2026-08-30T08:49:44.391466+00:00
FMA,1951,26.96,-0.04,Netral,2026-08-30T08:49:44.391472+00:00
MAM,1951,27.48,0.16,Netral,2026-08-30T08:49:44.391478+00:00
AMJ,1951,27.72,0.27,Netral,2026-08-30T08:49:44.391484+00:00
MJJ,1951,27.72,0.5,El Nino lemah,2026-08-30T08:49:44.391496+00:00
JJA,1951,27.57,0.71,El Nino lemah,2026-08-30T08:49:44.391502+00:00
JAS,1951,27.41,0.9,El Nino lemah,2026-08-30T08:49:44.391508+00:00
ASO,1951,27.34,1.02,El Nino moderat,2026-08-30T08:49:44.391514+00:00
SON,1951,27.25,1.03,El Nino moderat,2026-08-30T08:49:44.391520+00:00
OND,1951,27.18,0.96,El Nino lemah,2026-08-30T08:49:44.391525+00:00
NDJ,1951,26.91,0.71,El Nino lemah,2026-08-30T08:49:44.391531+00:00
DJF,1952,26.86,0.52,El Nino lemah,2026-08-30T08:49:44.391541+00:00
JFM,1952,26.82,0.27,Netral,2026-08-30T08:49:44.391548+00:00
FMA,1952,27.33,0.33,Netral,2026-08-30T08:49:44.391554+00:00
MAM,1952,27.5,0.18,Netral,2026-08-30T08:49:44.391560+00:00
AMJ,1952,27.38,-0.07,Netral,2026-08-30T08:49:44.391566+00:00
MJJ,1952,26.78,-0.44,Netral,2026-08-30T08:49:44.391572+00:00
JJA,1952,26.41,-0.45,Netral,2026-08-30T08:49:44.391583+00:00
JAS,1952,26.31,-0.2,Netral,2026-08-30T08:49:44.391590+00:00
ASO,1952,26.35,0.03,Netral,2026-08-30T08:49:44.391602+00:00
SON,1952,26.26,0.04,Netral,2026-08-30T08:49:44.391608+00:00
OND,1952,26.11,-0.11,Netral,2026-08-30T08:49:44.391614+00:00
NDJ,1952,26.25,0.06,Netral,2026-08-30T08:49:44.391620+00:00
DJF,1953,26.58,0.25,Netral,2026-08-30T08:49:44.391630+00:00
JFM,1953,27.06,0.5,El Nino lemah,2026-08-30T08:49:44.391635+00:00
FMA,1953,27.48,0.48,Netral,2026-08-30T08:49:44.391642+00:00
MAM,1953,27.88,0.56,El Nino lemah,2026-08-30T08:49:44.391648+00:00
AMJ,1953,28.22,0.77,El Nino lemah,2026-08-30T08:49:44.391654+00:00
MJJ,1953,27.96,0.74,El Nino lemah,2026-08-30T08:49:44.391660+00:00
JJA,1953,27.49,0.63,El Nino lemah,2026-08-30T08:49:44.391666+00:00
JAS,1953,27.19,0.68,El Nino lemah,2026-08-30T08:49:44.391671+00:00
ASO,1953,26.91,0.59,El Nino lemah,2026-08-30T08:49:44.391677+00:00
SON,1953,27.0,0.78,El Nino lemah,2026-08-30T08:49:44.391685+00:00
OND,1953,26.74,0.52,El Nino lemah,2026-08-30T08:49:44.391691+00:00
NDJ,1953,26.76,0.56,El Nino lemah,2026-08-30T08:49:44.391697+00:00
DJF,1954,26.74,0.41,Netral,2026-08-30T08:49:44.391703+00:00
JFM,1954,26.91,0.35,Netral,2026-08-30T08:49:44.391709+00:00
FMA,1954,27.01,0.01,Netral,2026-08-30T08:49:44.391714+00:00
MAM,1954,27.04,-0.27,Netral,2026-08-30T08:49:44.391724+00:00
AMJ,1954,26.97,-0.48,Netral,2026-08-30T08:49:44.391730+00:00
MJJ,1954,26.74,-0.48,Netral,2026-08-30T08:49:44.391737+00:00
JJA,1954,26.18,-0.67,La Nina lemah,2026-08-30T08:49:44.391743+00:00
JAS,1954,25.68,-0.83,La Nina lemah,2026-08-30T08:49:44.391749+00:00
ASO,1954,25.58,-0.73,La Nina lemah,2026-08-30T08:49:44.391759+00:00
SON,1954,25.7,-0.52,La Nina lemah,2026-08-30T08:49:44.391766+00:00
OND,1954,25.82,-0.4,Netral,2026-08-30T08:49:44.391772+00:00
NDJ,1954,25.76,-0.44,Netral,2026-08-30T08:49:44.391778+00:00
DJF,1955,25.83,-0.5,La Nina lemah,2026-08-30T08:49:44.391784+00:00
JFM,1955,26.08,-0.48,Netral,2026-08-30T08:49:44.391791+00:00
FMA,1955,26.42,-0.58,La Nina lemah,2026-08-30T08:49:44.391796+00:00
MAM,1955,26.56,-0.76,La Nina lemah,2026-08-30T08:49:44.391803+00:00
AMJ,1955,26.67,-0.78,La Nina lemah,2026-08-30T08:49:44.391810+00:00
MJJ,1955,26.34,-0.88,La Nina lemah,2026-08-30T08:49:44.391816+00:00
JJA,1955,26.13,-0.72,La Nina lemah,2026-08-30T08:49:44.391825+00:00
JAS,1955,25.59,-0.92,La Nina lemah,2026-08-30T08:49:44.391831+00:00
ASO,1955,25.21,-1.11,La Nina moderat,2026-08-30T08:49:44.391837+00:00
SON,1955,24.78,-1.44,La Nina moderat,2026-08-30T08:49:44.391843+00:00
OND,1955,24.63,-1.59,La Nina kuat,2026-08-30T08:49:44.391849+00:00
NDJ,1955,24.73,-1.51,La Nina kuat,2026-08-30T08:49:44.391854+00:00
DJF,1956,25.2,-1.17,La Nina moderat,2026-08-30T08:49:44.391863+00:00
JFM,1956,25.82,-0.81,La Nina lemah,2026-08-30T08:49:44.391868+00:00
FMA,1956,26.47,-0.57,La Nina lemah,2026-08-30T08:49:44.391874+00:00
MAM,1956,26.84,-0.51,La Nina lemah,2026-08-30T08:49:44.391882+00:00
AMJ,1956,27.0,-0.49,Netral,2026-08-30T08:49:44.391888+00:00
MJJ,1956,26.81,-0.47,Netral,2026-08-30T08:49:44.391895+00:00
JJA,1956,26.37,-0.55,La Nina lemah,2026-08-30T08:49:44.391901+00:00
