tanggal,komoditas,level,no_urut,harga,provinsi,diambil_pada_utc,kabupaten_kota,rolling_mean,rolling_std,z_score,anomali_harga,curah_hujan_mm_total,suhu_c_rata2,cuaca_ekstrem,anomali_dengan_konteks_cuaca
2026-03-03,Bawang Merah,1,V,33650.0,DI Yogyakarta,2026-08-30T11:38:26.756565+00:00,DI Yogyakarta,,,,False,,,,False
2026-03-04,Bawang Merah,1,V,33650.0,DI Yogyakarta,2026-08-30T11:38:26.756565+00:00,DI Yogyakarta,,,,False,,,,False
2026-03-05,Bawang Merah,1,V,33650.0,DI Yogyakarta,2026-08-30T11:38:26.756565+00:00,DI Yogyakarta,,,,False,,,,False
2026-03-06,Bawang Merah,1,V,33650.0,DI Yogyakarta,2026-08-30T11:38:26.756565+00:00,DI Yogyakarta,,,,False,,,,False
2026-03-09,Bawang Merah,1,V,33650.0,DI Yogyakarta,2026-08-30T11:38:26.756565+00:00,DI Yogyakarta,33650.0,0.0,,False,,,,False
2026-03-10,Bawang Merah,1,V,33650.0,DI Yogyakarta,2026-08-30T11:38:26.756565+00:00,DI Yogyakarta,33650.0,0.0,,False,,,,False
2026-03-11,Bawang Merah,1,V,33650.0,DI Yogyakarta,2026-08-30T11:38:26.756565+00:00,DI Yogyakarta,33650.0,0.0,,False,,,,False
2026-03-12,Bawang Merah,1,V,33650.0,DI Yogyakarta,2026-08-30T11:38:26.756565+00:00,DI Yogyakarta,33650.0,0.0,,False,,,,False
2026-03-13,Bawang Merah,1,V,33650.0,DI Yogyakarta,2026-08-30T11:38:26.756565+00:00,DI Yogyakarta,33650.0,0.0,,False,,,,False
2026-03-16,Bawang Merah,1,V,33650.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,33650.0,0.0,,False,,,,False
2026-03-17,Bawang Merah,1,V,33650.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,33650.0,0.0,,False,,,,False
2026-03-18,Bawang Merah,1,V,33650.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,33650.0,0.0,,False,,,,False
2026-03-19,Bawang Merah,1,V,33650.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,33650.0,0.0,,False,,,,False
2026-03-20,Bawang Merah,1,V,33650.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,33650.0,0.0,,False,,,,False
2026-03-23,Bawang Merah,1,V,33650.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,33650.0,0.0,,False,,,,False
2026-03-24,Bawang Merah,1,V,33650.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,33650.0,0.0,,False,,,,False
2026-03-25,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,33746.42857142857,360.8026765817728,3.4743961448615153,True,,,,False
2026-03-26,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,33842.857142857145,490.2343014617294,2.360387377408328,True,,,,False
2026-03-27,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,33939.28571428572,574.850673395531,1.8451996923807183,False,,,,False
2026-03-30,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,34035.71428571428,632.889761766967,1.5236235005501193,False,,,,False
2026-03-31,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,34132.142857142855,671.2809634334415,1.2928374110570087,False,,,,False
2026-04-01,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,34228.57142857143,693.2959978676776,1.1126972805283772,False,,,,False
2026-04-02,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,34325.0,700.4806042447393,0.9636241116594333,False,,,,False
2026-04-03,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,34421.42857142857,693.2959978676776,0.8345229603962804,False,,,,False
2026-04-06,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,34517.857142857145,671.2809634334415,0.7182430061427778,False,,,,False
2026-04-07,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,34614.28571428572,632.8897617669662,0.6094494002200417,False,,,,False
2026-04-08,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,34710.71428571428,574.8506733955289,0.5032362797402047,False,,,,False
2026-04-09,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,34807.142857142855,490.23430146172547,0.3933978962347294,False,,,,False
2026-04-10,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,34903.57142857143,360.8026765817654,0.26726124191243283,False,,,,False
2026-04-13,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,35000.0,0.0,,False,,,,False
2026-04-14,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,35000.0,0.0,,False,,,,False
2026-04-15,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,35000.0,0.0,,False,,,,False
2026-04-16,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,35000.0,0.0,,False,,,,False
2026-04-17,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,35000.0,0.0,,False,,,,False
2026-04-20,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,35000.0,0.0,,False,,,,False
2026-04-21,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,35000.0,0.0,,False,,,,False
2026-04-22,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,35000.0,0.0,,False,,,,False
2026-04-23,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,35000.0,0.0,,False,,,,False
2026-04-24,Bawang Merah,1,V,35000.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,35000.0,0.0,,False,,,,False
2026-04-27,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,35225.0,841.8729120241368,3.474396144861517,True,,,,False
2026-04-28,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,35450.0,1143.8800367440363,2.36038737740833,True,,,,False
2026-04-29,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,35675.0,1341.318237922908,1.8451996923807203,False,,,,False
2026-04-30,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,35900.0,1476.7427774562602,1.5236235005501104,False,,,,False
2026-05-01,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,36125.0,1566.322248011368,1.2928374110570018,False,,,,False
2026-05-04,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,36350.0,1617.690661691251,1.1126972805283735,False,,,,False
2026-05-05,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,36575.0,1634.454743237728,0.9636241116594315,False,,,,False
2026-05-06,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,36800.0,1617.690661691251,0.83452296039628,False,,,,False
2026-05-07,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,37025.0,1566.322248011368,0.7182430061427788,False,,,,False
2026-05-08,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:23.606628+00:00,DI Yogyakarta,37250.0,1476.7427774562602,0.6094494002200442,False,,,,False
2026-05-11,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,37475.0,1341.318237922908,0.5032362797401965,False,,,,False
2026-05-12,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,37700.0,1143.8800367440363,0.39339789623472166,False,,,,False
2026-05-13,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,37925.0,841.8729120241368,0.2672612419124244,False,,,,False
2026-05-14,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,38150.0,0.0,,False,,,,False
2026-05-15,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,38150.0,0.0,,False,,,,False
2026-05-18,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,38150.0,0.0,,False,,,,False
2026-05-19,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,38150.0,0.0,,False,,,,False
2026-05-20,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,38150.0,0.0,,False,,,,False
2026-05-21,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,38150.0,0.0,,False,,,,False
2026-05-22,Bawang Merah,1,V,38150.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,38150.0,0.0,,False,,,,False
2026-05-25,Bawang Merah,1,V,36850.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,38057.142857142855,347.4396144861514,-3.474396144861514,True,,,,False
2026-05-26,Bawang Merah,1,V,36850.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,37964.28571428572,472.07747548166594,-2.360387377408336,True,,,,False
2026-05-27,Bawang Merah,1,V,36850.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,37871.42857142857,553.5599077142164,-1.8451996923807212,False,,,,False
2026-05-28,Bawang Merah,1,V,36850.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,37778.57142857143,609.4494002200441,-1.5236235005501082,False,,,,False
2026-05-29,Bawang Merah,1,V,36850.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,37685.71428571428,646.4187055285009,-1.2928374110569971,False,,,,False
2026-06-01,Bawang Merah,1,V,36850.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,37592.857142857145,667.6183683170241,-1.1126972805283768,False,,,,False
2026-06-02,Bawang Merah,1,V,36850.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,37500.0,674.5368781616021,-0.9636241116594315,False,,,,False
2026-06-03,Bawang Merah,1,V,36850.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,37407.142857142855,667.6183683170241,-0.8345229603962772,False,,,,False
2026-06-04,Bawang Merah,1,V,36850.0,DI Yogyakarta,2026-08-30T11:38:18.765381+00:00,DI Yogyakarta,37314.28571428572,646.4187055285008,-0.7182430061427838,False,,,,False
