tanggal,kabupaten_kota,pasar,komoditas,varian,satuan,harga,diambil_pada_utc
2024-01-03,,Titik Banting - Kota Banda Aceh,Baja Ringan,Baja Kaso C.75.75,,115000,2026-08-31T07:59:04.322761+00:00
2024-01-03,,Titik Banting - Kota Banda Aceh,Besi,Besi Beton 10 mm,,62000,2026-08-31T07:59:04.322761+00:00
2024-01-03,,Titik Banting - Kota Banda Aceh,Besi,Besi Beton 12 mm,,92500,2026-08-31T07:59:04.322761+00:00
2024-01-03,,Titik Banting - Kota Banda Aceh,Besi,Besi Beton 6 mm,,25500,2026-08-31T07:59:04.322761+00:00
2024-01-03,,Titik Banting - Kota Banda Aceh,Besi,Besi Beton 8 mm,,42000,2026-08-31T07:59:04.322761+00:00
2024-01-03,,Titik Banting - Kota Banda Aceh,Kayu,"Kayu Papan 2,5x30x100 cm",,150000,2026-08-31T07:59:04.322761+00:00
2024-01-03,,Titik Banting - Kota Banda Aceh,Paku,Paku Besi,,19333,2026-08-31T07:59:04.322761+00:00
2024-01-03,,Titik Banting - Kota Banda Aceh,Triplek,"Triplek Tebal 2,7 mm",,56667,2026-08-31T07:59:04.322761+00:00
2024-01-03,,Titik Banting - Kota Banda Aceh,Triplek,Triplek Tebal 4 mm,,68000,2026-08-31T07:59:04.322761+00:00
2024-01-03,,Titik Banting - Kota Banda Aceh,Triplek,Triplek Tebal 6 mm,,92500,2026-08-31T07:59:04.322761+00:00
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Bawang,Bawang Bombai,kg,23000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Bawang,Bawang Merah,kg,25000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Bawang,Bawang Putih Honan,kg,32000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Bawang,Bawang Putih Kating,kg,40000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Beras,Beras Medium,kg,13000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Beras,Beras Premium,kg,15000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Beras,Beras SPHP Bulog,kg,10900,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Cabai,Cabai Merah Besar,kg,50000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Cabai,Cabai Merah Keriting,kg,23000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Cabai,Cabai Rawit Hijau,kg,35000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Cabai,Cabai Rawit Merah,kg,35000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Daging Ayam,Daging Ayam Kampung,ekor,90000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Daging Ayam,Daging Ayam Ras,kg,34000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Daging Ruminansia,Daging Sapi Paha Belakang,kg,130000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Daging Ruminansia,Daging Sapi Paha Depan,kg,100000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Daging Ruminansia,Daging Sapi Sandung Lamur,kg,80000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Garam,Garam Halus,kg,13000,2026-08-31
