periode_kode,tahun,bulan,nama_bulan,level,wilayah,tanam_ha,panen_ha,diambil_pada_utc
202401,2024,1,Januari,kabupaten_kota,Bantul,2487.76,2252.18,2026-08-31T00:25:59.437548+00:00
202402,2024,2,Februari,kabupaten_kota,Bantul,1785.26,3361.87,2026-08-31T00:25:59.437548+00:00
202403,2024,3,Maret,kabupaten_kota,Bantul,1855.21,2335.55,2026-08-31T00:25:59.437548+00:00
202404,2024,4,April,kabupaten_kota,Bantul,1621.06,1933.69,2026-08-31T00:25:59.437548+00:00
202405,2024,5,Mei,kabupaten_kota,Bantul,1861.67,2407.7,2026-08-31T00:25:59.437548+00:00
202406,2024,6,Juni,kabupaten_kota,Bantul,1531.67,1854.5,2026-08-31T00:25:59.437548+00:00
202407,2024,7,Juli,kabupaten_kota,Bantul,1868.3,2245.72,2026-08-31T00:25:59.437548+00:00
202408,2024,8,Agustus,kabupaten_kota,Bantul,1964.35,1484.11,2026-08-31T00:25:59.437548+00:00
202409,2024,9,September,kabupaten_kota,Bantul,1558.54,1601.02,2026-08-31T00:25:59.437548+00:00
202410,2024,10,Oktober,kabupaten_kota,Bantul,3547.16,1300.81,2026-08-31T00:25:59.437548+00:00
202411,2024,11,November,kabupaten_kota,Bantul,1732.78,1848.01,2026-08-31T00:25:59.437548+00:00
202412,2024,12,Desember,kabupaten_kota,Bantul,2408.17,2027.93,2026-08-31T00:25:59.437548+00:00
202501,2025,1,Januari,kabupaten_kota,Bantul,3420.19,1928.82,2026-08-31T00:25:59.437548+00:00
202502,2025,2,Februari,kabupaten_kota,Bantul,1743.18,2768.09,2026-08-31T00:25:59.437548+00:00
202503,2025,3,Maret,kabupaten_kota,Bantul,2572.39,2145.67,2026-08-31T00:25:59.437548+00:00
202504,2025,4,April,kabupaten_kota,Bantul,1919.57,3096.16,2026-08-31T00:25:59.437548+00:00
202505,2025,5,Mei,kabupaten_kota,Bantul,1990.25,2772.14,2026-08-31T00:25:59.437548+00:00
202506,2025,6,Juni,kabupaten_kota,Bantul,1781.74,2601.04,2026-08-31T00:25:59.437548+00:00
202507,2025,7,Juli,kabupaten_kota,Bantul,3054.68,1916.97,2026-08-31T00:25:59.437548+00:00
202508,2025,8,Agustus,kabupaten_kota,Bantul,2105.36,1769.59,2026-08-31T00:25:59.437548+00:00
202509,2025,9,September,kabupaten_kota,Bantul,1331.62,1790.7,2026-08-31T00:25:59.437548+00:00
202510,2025,10,Oktober,kabupaten_kota,Bantul,1391.66,2183.29,2026-08-31T00:25:59.437548+00:00
202511,2025,11,November,kabupaten_kota,Bantul,2716.19,3162.7,2026-08-31T00:25:59.437548+00:00
202512,2025,12,Desember,kabupaten_kota,Bantul,3792.58,1610.54,2026-08-31T00:25:59.437548+00:00
202601,2026,1,Januari,kabupaten_kota,Bantul,2378.08,1397.47,2026-08-31T00:25:59.437548+00:00
202602,2026,2,Februari,kabupaten_kota,Bantul,1455.29,1474.51,2026-08-31T00:25:59.437548+00:00
202603,2026,3,Maret,kabupaten_kota,Bantul,1648.9,3304.76,2026-08-31T00:25:59.437548+00:00
202604,2026,4,April,kabupaten_kota,Bantul,2007.14,3546.13,2026-08-31T00:25:59.437548+00:00
202605,2026,5,Mei,kabupaten_kota,Bantul,1804.23,2094.5,2026-08-31T00:25:59.437548+00:00
202606,2026,6,Juni,kabupaten_kota,Bantul,1649.33,1747.4,2026-08-31T00:25:59.437548+00:00
202607,2026,7,Juli,kabupaten_kota,Bantul,3234.65,1473.26,2026-08-31T00:25:59.437548+00:00
202401,2024,1,Januari,kabupaten_kota,Gunungkidul,558.57,2913.35,2026-08-31T00:25:59.437548+00:00
202402,2024,2,Februari,kabupaten_kota,Gunungkidul,200.35,8772.38,2026-08-31T00:25:59.437548+00:00
