fetched_at_utc,kabupaten_kota,adm4,waktu_lokal,suhu_c,kelembapan_persen,cuaca_desc,curah_hujan_mm,kecepatan_angin_kmh
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-08-30 16:00:00,28,66,Cerah,0,14.3
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-08-30 19:00:00,25,75,Cerah,0,6.6
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-08-30 22:00:00,24,83,Cerah Berawan,0,0.8
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-08-31 01:00:00,23,87,Cerah Berawan,0,3.6
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-08-31 04:00:00,22,91,Cerah,0,1
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-08-31 07:00:00,26,73,Cerah,0,1
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-08-31 10:00:00,32,48,Cerah,0,1.5
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-08-31 13:00:00,31,55,Cerah,0.1,12.3
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-08-31 16:00:00,28,66,Cerah,0,12.2
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-08-31 19:00:00,26,78,Cerah,0,10.4
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-08-31 22:00:00,25,84,Cerah,0,0.3
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-09-01 01:00:00,23,93,Cerah,0,1.8
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-09-01 04:00:00,21,94,Cerah Berawan,0,3.9
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-09-01 07:00:00,26,72,Cerah,0,3.3
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-09-01 10:00:00,31,43,Cerah,0,8.3
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-09-01 13:00:00,32,46,Cerah,0,8.3
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-09-01 16:00:00,28,65,Cerah,0,4.9
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-09-01 19:00:00,26,77,Cerah,0,4.9
2026-08-30T08:40:33.546379+00:00,Kota Yogyakarta,34.71.10.1001,2026-09-01 22:00:00,24,83,Cerah,0,3.1
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-08-30 16:00:00,26,73,Cerah,0,14.2
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-08-30 19:00:00,24,86,Cerah,0,7.4
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-08-30 22:00:00,23,91,Cerah Berawan,0,0.6
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-08-31 01:00:00,22,91,Cerah Berawan,0,2.5
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-08-31 04:00:00,21,93,Cerah,0,2.8
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-08-31 07:00:00,26,77,Cerah,0,2.8
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-08-31 10:00:00,30,55,Cerah,0,4.6
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-08-31 13:00:00,30,60,Cerah,0,9.7
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-08-31 16:00:00,27,73,Cerah,0.1,8.9
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-08-31 19:00:00,24,82,Cerah,0,6.2
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-08-31 22:00:00,23,91,Cerah,0,1.2
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-09-01 01:00:00,21,95,Cerah Berawan,0,2.8
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-09-01 04:00:00,20,92,Cerah Berawan,0,4.5
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-09-01 07:00:00,24,78,Cerah,0,2.6
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-09-01 10:00:00,29,51,Cerah,0,8.7
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-09-01 13:00:00,30,48,Cerah,0,8.7
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-09-01 16:00:00,26,68,Cerah,0,5
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-09-01 19:00:00,24,86,Cerah,0,5
2026-08-30T08:40:33.663494+00:00,Kabupaten Sleman,34.04.13.2002,2026-09-01 22:00:00,22,89,Cerah Berawan,0,5.4
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-08-30 16:00:00,27,71,Cerah,0,12.4
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-08-30 19:00:00,25,81,Cerah,0,4.2
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-08-30 22:00:00,24,88,Cerah Berawan,0,1.2
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-08-31 01:00:00,23,92,Cerah Berawan,0,3.3
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-08-31 04:00:00,21,95,Cerah,0,1.3
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-08-31 07:00:00,27,74,Cerah,0,3.1
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-08-31 10:00:00,32,51,Cerah,0,2.4
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-08-31 13:00:00,31,58,Cerah,0,17
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-08-31 16:00:00,28,70,Cerah,0,14.8
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-08-31 19:00:00,26,81,Cerah,0,7.7
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-08-31 22:00:00,24,87,Cerah,0,1.5
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-09-01 01:00:00,23,93,Cerah,0,2.5
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-09-01 04:00:00,21,97,Cerah,0,3.6
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-09-01 07:00:00,26,71,Cerah,0,4.3
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-09-01 10:00:00,31,47,Cerah,0,20.1
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-09-01 13:00:00,30,54,Cerah,0,20.1
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-09-01 16:00:00,26,71,Cerah,0,5.8
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-09-01 19:00:00,25,81,Cerah,0,5.8
2026-08-30T08:40:33.790600+00:00,Kabupaten Bantul,34.02.08.2003,2026-09-01 22:00:00,23,85,Cerah,0,0.7
2026-08-30T08:40:33.898494+00:00,Kabupaten Kulon Progo,34.01.02.1008,2026-08-30 16:00:00,26,82,Cerah,0,13.1
2026-08-30T08:40:33.898494+00:00,Kabupaten Kulon Progo,34.01.02.1008,2026-08-30 19:00:00,24,89,Cerah,0,5.6
2026-08-30T08:40:33.898494+00:00,Kabupaten Kulon Progo,34.01.02.1008,2026-08-30 22:00:00,23,91,Cerah Berawan,0,1.1
