# Unnamed: 0_level_1,Tanggal Unnamed: 1_level_1,Komoditas Bawang Merah Bawang Putih Bonggol Beras Medium Beras premium Beras SPHP Brokoli Cabe Merah Besar Cabe Merah Keriting Cabe Rawit Merah Daging Ayam Ras Daging Sapi Murni Gula Pasir Konsumsi Jagung Pipilan Kering Kacang Panjang Kedelai Biji Kering (Impor) Minyak Goreng Kemasan Pakcoy Sawi Putih Telur Ayam Ras Tepung Terigu Kemasan Terong Timun Tomat Wortel,Harga (Rp/Kg) Unnamed: 3_level_1
1,2026-08-13,Beras Medium,13238
2,2026-08-13,Gula Pasir Konsumsi,17852
3,2026-08-13,Minyak Goreng Kemasan,21680
4,2026-08-13,Daging Ayam Ras,39250
5,2026-08-13,Telur Ayam Ras,24940
6,2026-08-13,Daging Sapi Murni,157059
7,2026-08-13,Bawang Merah,31286
8,2026-08-13,Cabe Merah Keriting,32130
9,2026-08-13,Cabe Merah Besar,38611
10,2026-08-13,Jagung Pipilan Kering,6450
11,2026-08-13,Kedelai Biji Kering (Impor),10925
12,2026-08-13,Bawang Putih Bonggol,32720
13,2026-08-13,Cabe Rawit Merah,42304
14,2026-08-13,Beras premium,14962
15,2026-08-13,Beras SPHP,12338
16,2026-08-13,Tepung Terigu Kemasan,11660
17,2026-08-13,Sawi Putih,8000
18,2026-08-13,Pakcoy,8000
19,2026-08-13,Wortel,17000
20,2026-08-13,Brokoli,12000
21,2026-08-13,Kacang Panjang,12000
22,2026-08-13,Terong,8000
23,2026-08-13,Timun,18000
24,2026-08-13,Tomat,10000
25,2026-08-10,Beras Medium,13236
26,2026-08-10,Gula Pasir Konsumsi,17577
27,2026-08-10,Minyak Goreng Kemasan,21708
28,2026-08-10,Daging Ayam Ras,38950
29,2026-08-10,Telur Ayam Ras,25630
30,2026-08-10,Daging Sapi Murni,156563
31,2026-08-10,Bawang Merah,32259
32,2026-08-10,Cabe Merah Keriting,32727
33,2026-08-10,Cabe Merah Besar,38824
34,2026-08-10,Jagung Pipilan Kering,6450
35,2026-08-10,Kedelai Biji Kering (Impor),10925
36,2026-08-10,Bawang Putih Bonggol,32760
37,2026-08-10,Cabe Rawit Merah,43227
38,2026-08-10,Beras premium,14892
39,2026-08-10,Beras SPHP,12367
40,2026-08-10,Tepung Terigu Kemasan,11646
41,2026-08-10,Sawi Putih,8000
42,2026-08-10,Pakcoy,7000
43,2026-08-10,Wortel,17000
44,2026-08-10,Brokoli,15000
45,2026-08-10,Kacang Panjang,11000
46,2026-08-10,Terong,8000
47,2026-08-10,Timun,18000
48,2026-08-10,Tomat,11000
49,2026-08-06,Beras Medium,13256
50,2026-08-06,Gula Pasir Konsumsi,17558
51,2026-08-06,Minyak Goreng Kemasan,21625
52,2026-08-06,Daging Ayam Ras,36632
53,2026-08-06,Telur Ayam Ras,24708
54,2026-08-06,Daging Sapi Murni,157500
55,2026-08-06,Bawang Merah,31750
56,2026-08-06,Cabe Merah Keriting,31714
57,2026-08-06,Cabe Merah Besar,37765
58,2026-08-06,Jagung Pipilan Kering,6450
59,2026-08-06,Kedelai Biji Kering (Impor),10917
60,2026-08-06,Bawang Putih Bonggol,32760
61,2026-08-06,Cabe Rawit Merah,42238
62,2026-08-06,Beras premium,14967
63,2026-08-06,Beras SPHP,12400
64,2026-08-06,Tepung Terigu Kemasan,11646
65,2026-08-06,Sawi Putih,8000
66,2026-08-06,Pakcoy,7000
67,2026-08-06,Wortel,17000
68,2026-08-06,Brokoli,15000
69,2026-08-06,Kacang Panjang,11000
70,2026-08-06,Terong,8000
71,2026-08-06,Timun,18000
72,2026-08-06,Tomat,11000
73,2026-08-03,Beras Medium,13208
74,2026-08-03,Gula Pasir Konsumsi,17538
75,2026-08-03,Minyak Goreng Kemasan,21417
76,2026-08-03,Daging Ayam Ras,36571
77,2026-08-03,Telur Ayam Ras,24750
78,2026-08-03,Daging Sapi Murni,156765
79,2026-08-03,Bawang Merah,33000
80,2026-08-03,Cabe Merah Keriting,31818
81,2026-08-03,Cabe Merah Besar,37056
82,2026-08-03,Jagung Pipilan Kering,6450
83,2026-08-03,Kedelai Biji Kering (Impor),10942
84,2026-08-03,Bawang Putih Bonggol,32750
85,2026-08-03,Cabe Rawit Merah,41227
86,2026-08-03,Beras premium,14946
87,2026-08-03,Beras SPHP,12382
88,2026-08-03,Tepung Terigu Kemasan,11646
89,2026-08-03,Sawi Putih,7000
90,2026-08-03,Pakcoy,6000
91,2026-08-03,Wortel,18000
92,2026-08-03,Brokoli,16000
93,2026-08-03,Kacang Panjang,12000
94,2026-08-03,Terong,8000
95,2026-08-03,Timun,20000
96,2026-08-03,Tomat,10000
97,2026-07-30,Beras Medium,13283
98,2026-07-30,Gula Pasir Konsumsi,17558
99,2026-07-30,Minyak Goreng Kemasan,21688
100,2026-07-30,Daging Ayam Ras,36190
101,2026-07-30,Telur Ayam Ras,25417
102,2026-07-30,Daging Sapi Murni,156765
103,2026-07-30,Bawang Merah,34679
104,2026-07-30,Cabe Merah Keriting,33364
105,2026-07-30,Cabe Merah Besar,37941
106,2026-07-30,Jagung Pipilan Kering,6425
107,2026-07-30,Kedelai Biji Kering (Impor),10942
108,2026-07-30,Bawang Putih Bonggol,34462
109,2026-07-30,Cabe Rawit Merah,41545
110,2026-07-30,Beras premium,14940
111,2026-07-30,Beras SPHP,12453
112,2026-07-30,Tepung Terigu Kemasan,11646
113,2026-07-30,Sawi Putih,8000
114,2026-07-30,Pakcoy,8000
115,2026-07-30,Wortel,14000
116,2026-07-30,Brokoli,16000
117,2026-07-30,Kacang Panjang,9000
118,2026-07-30,Terong,8000
119,2026-07-30,Timun,20000
120,2026-07-30,Tomat,12000
121,2026-07-27,Beras Medium,13285
122,2026-07-27,Gula Pasir Konsumsi,17519
123,2026-07-27,Minyak Goreng Kemasan,21660
124,2026-07-27,Daging Ayam Ras,35550
125,2026-07-27,Telur Ayam Ras,25417
126,2026-07-27,Daging Sapi Murni,156765
127,2026-07-27,Bawang Merah,35379
128,2026-07-27,Cabe Merah Keriting,29870
129,2026-07-27,Cabe Merah Besar,35889
130,2026-07-27,Jagung Pipilan Kering,6400
131,2026-07-27,Kedelai Biji Kering (Impor),10958
132,2026-07-27,Bawang Putih Bonggol,34962
133,2026-07-27,Cabe Rawit Merah,34785
134,2026-07-27,Beras premium,14932
135,2026-07-27,Beras SPHP,12393
136,2026-07-27,Tepung Terigu Kemasan,11660
137,2026-07-27,Sawi Putih,7000
138,2026-07-27,Pakcoy,8000
139,2026-07-27,Wortel,14000
140,2026-07-27,Brokoli,20000
141,2026-07-27,Kacang Panjang,9000
142,2026-07-27,Terong,8000
143,2026-07-27,Timun,22000
144,2026-07-27,Tomat,12000
145,2026-07-23,Beras Medium,13248
146,2026-07-23,Gula Pasir Konsumsi,17558
147,2026-07-23,Minyak Goreng Kemasan,21640
148,2026-07-23,Daging Ayam Ras,34238
149,2026-07-23,Telur Ayam Ras,25646
150,2026-07-23,Daging Sapi Murni,156471
151,2026-07-23,Bawang Merah,36893
152,2026-07-23,Cabe Merah Keriting,31609
153,2026-07-23,Cabe Merah Besar,39167
154,2026-07-23,Jagung Pipilan Kering,6450
155,2026-07-23,Kedelai Biji Kering (Impor),10967
156,2026-07-23,Bawang Putih Bonggol,36560
157,2026-07-23,Cabe Rawit Merah,36391
158,2026-07-23,Beras premium,14913
159,2026-07-23,Beras SPHP,12427
160,2026-07-23,Tepung Terigu Kemasan,11660
161,2026-07-23,Sawi Putih,7000
162,2026-07-23,Pakcoy,7000
163,2026-07-23,Wortel,13000
164,2026-07-23,Brokoli,22000
165,2026-07-23,Kacang Panjang,9000
166,2026-07-23,Terong,8000
167,2026-07-23,Timun,18000
168,2026-07-23,Tomat,12000
169,2026-07-20,Beras Medium,13256
170,2026-07-20,Gula Pasir Konsumsi,17500
171,2026-07-20,Minyak Goreng Kemasan,21560
172,2026-07-20,Daging Ayam Ras,34238
173,2026-07-20,Telur Ayam Ras,25375
174,2026-07-20,Daging Sapi Murni,156765
175,2026-07-20,Bawang Merah,37207
176,2026-07-20,Cabe Merah Keriting,33174
177,2026-07-20,Cabe Merah Besar,40111
178,2026-07-20,Jagung Pipilan Kering,6475
179,2026-07-20,Kedelai Biji Kering (Impor),10983
180,2026-07-20,Bawang Putih Bonggol,36231
181,2026-07-20,Cabe Rawit Merah,38000
182,2026-07-20,Beras premium,14913
183,2026-07-20,Beras SPHP,12427
184,2026-07-20,Tepung Terigu Kemasan,11625
185,2026-07-20,Sawi Putih,6000
186,2026-07-20,Pakcoy,7000
187,2026-07-20,Wortel,13000
188,2026-07-20,Brokoli,22000
189,2026-07-20,Kacang Panjang,9000
190,2026-07-20,Terong,8000
191,2026-07-20,Timun,9000
192,2026-07-20,Tomat,13000
193,2026-07-13,Beras Medium,13323
194,2026-07-13,Gula Pasir Konsumsi,17444
195,2026-07-13,Minyak Goreng Kemasan,21538
196,2026-07-13,Daging Ayam Ras,33000
197,2026-07-13,Telur Ayam Ras,24220
198,2026-07-13,Daging Sapi Murni,156765
199,2026-07-13,Bawang Merah,38931
200,2026-07-13,Cabe Merah Keriting,31130
201,2026-07-13,Cabe Merah Besar,36556
202,2026-07-13,Jagung Pipilan Kering,6488
203,2026-07-13,Kedelai Biji Kering (Impor),10992
204,2026-07-13,Bawang Putih Bonggol,36731
205,2026-07-13,Cabe Rawit Merah,41522
206,2026-07-13,Beras premium,14890
207,2026-07-13,Beras SPHP,12450
208,2026-07-13,Tepung Terigu Kemasan,11660
209,2026-07-13,Sawi Putih,6000
210,2026-07-13,Pakcoy,5000
211,2026-07-13,Wortel,13000
212,2026-07-13,Brokoli,21000
213,2026-07-13,Kacang Panjang,8000
214,2026-07-13,Terong,8000
215,2026-07-13,Timun,8000
216,2026-07-13,Tomat,13000
217,2026-07-09,Beras Medium,13263
218,2026-07-09,Gula Pasir Konsumsi,17463
219,2026-07-09,Minyak Goreng Kemasan,21500
220,2026-07-09,Daging Ayam Ras,29286
221,2026-07-09,Telur Ayam Ras,23300
222,2026-07-09,Daging Sapi Murni,156471
223,2026-07-09,Bawang Merah,39179
224,2026-07-09,Cabe Merah Keriting,31727
225,2026-07-09,Cabe Merah Besar,36294
226,2026-07-09,Jagung Pipilan Kering,6488
227,2026-07-09,Kedelai Biji Kering (Impor),11008
228,2026-07-09,Bawang Putih Bonggol,36731
229,2026-07-09,Cabe Rawit Merah,40045
230,2026-07-09,Beras premium,14890
231,2026-07-09,Beras SPHP,12457
232,2026-07-09,Tepung Terigu Kemasan,11760
233,2026-07-09,Sawi Putih,6000
234,2026-07-09,Pakcoy,6000
235,2026-07-09,Wortel,13000
236,2026-07-09,Brokoli,20000
237,2026-07-09,Kacang Panjang,8000
238,2026-07-09,Terong,8000
239,2026-07-09,Timun,9000
240,2026-07-09,Tomat,13000
241,2026-07-06,Beras Medium,13266
242,2026-07-06,Gula Pasir Konsumsi,17462
243,2026-07-06,Minyak Goreng Kemasan,21480
244,2026-07-06,Daging Ayam Ras,29429
245,2026-07-06,Telur Ayam Ras,23917
246,2026-07-06,Daging Sapi Murni,156471
247,2026-07-06,Bawang Merah,40321
248,2026-07-06,Cabe Merah Keriting,33348
249,2026-07-06,Cabe Merah Besar,37611
250,2026-07-06,Jagung Pipilan Kering,6488
251,2026-07-06,Kedelai Biji Kering (Impor),11017
252,2026-07-06,Bawang Putih Bonggol,36840
253,2026-07-06,Cabe Rawit Merah,45043
254,2026-07-06,Beras premium,14885
255,2026-07-06,Beras SPHP,12462
256,2026-07-06,Tepung Terigu Kemasan,11720
257,2026-07-06,Sawi Putih,6000
258,2026-07-06,Pakcoy,6000
259,2026-07-06,Wortel,13000
260,2026-07-06,Brokoli,21000
261,2026-07-06,Kacang Panjang,9000
262,2026-07-06,Terong,8000
263,2026-07-06,Timun,9000
264,2026-07-06,Tomat,14000
265,2026-07-02,Beras Medium,13265
266,2026-07-02,Gula Pasir Konsumsi,17500
267,2026-07-02,Minyak Goreng Kemasan,21375
268,2026-07-02,Daging Ayam Ras,29619
269,2026-07-02,Telur Ayam Ras,23500
270,2026-07-02,Daging Sapi Murni,156471
271,2026-07-02,Bawang Merah,39880
272,2026-07-02,Cabe Merah Keriting,32143
273,2026-07-02,Cabe Merah Besar,37875
274,2026-07-02,Jagung Pipilan Kering,6488
275,2026-07-02,Kedelai Biji Kering (Impor),11033
276,2026-07-02,Bawang Putih Bonggol,36682
277,2026-07-02,Cabe Rawit Merah,38476
278,2026-07-02,Beras premium,14907
279,2026-07-02,Beras SPHP,12455
280,2026-07-02,Tepung Terigu Kemasan,11674
281,2026-07-02,Sawi Putih,5000
282,2026-07-02,Pakcoy,6000
283,2026-07-02,Wortel,14000
284,2026-07-02,Brokoli,21000
285,2026-07-02,Kacang Panjang,9000
286,2026-07-02,Terong,8000
287,2026-07-02,Timun,9000
288,2026-07-02,Tomat,15000
289,2026-06-29,Beras Medium,13333
290,2026-06-29,Gula Pasir Konsumsi,17481
291,2026-06-29,Minyak Goreng Kemasan,21615
292,2026-06-29,Daging Ayam Ras,30810
293,2026-06-29,Telur Ayam Ras,23560
294,2026-06-29,Daging Sapi Murni,156765
295,2026-06-29,Bawang Merah,43207
296,2026-06-29,Cabe Merah Keriting,33174
297,2026-06-29,Cabe Merah Besar,38056
298,2026-06-29,Jagung Pipilan Kering,6500
299,2026-06-29,Kedelai Biji Kering (Impor),11058
300,2026-06-29,Bawang Putih Bonggol,35692
301,2026-06-29,Cabe Rawit Merah,40022
302,2026-06-29,Beras premium,14926
303,2026-06-29,Beras SPHP,12462
304,2026-06-29,Tepung Terigu Kemasan,11740
305,2026-06-29,Sawi Putih,5000
306,2026-06-29,Pakcoy,5000
307,2026-06-29,Wortel,14000
308,2026-06-29,Brokoli,20000
309,2026-06-29,Kacang Panjang,7000
310,2026-06-29,Terong,8000
311,2026-06-29,Timun,9000
312,2026-06-29,Tomat,15000
313,2026-06-25,Beras Medium,13300
314,2026-06-25,Gula Pasir Konsumsi,17556
315,2026-06-25,Minyak Goreng Kemasan,51808
316,2026-06-25,Daging Ayam Ras,32211
317,2026-06-25,Telur Ayam Ras,25560
318,2026-06-25,Daging Sapi Murni,156176
319,2026-06-25,Bawang Merah,44185
320,2026-06-25,Cabe Merah Keriting,36571
321,2026-06-25,Cabe Merah Besar,40625
322,2026-06-25,Jagung Pipilan Kering,6475
323,2026-06-25,Kedelai Biji Kering (Impor),11092
324,2026-06-25,Bawang Putih Bonggol,35240
325,2026-06-25,Cabe Rawit Merah,44762
326,2026-06-25,Beras premium,14908
327,2026-06-25,Beras SPHP,12462
328,2026-06-25,Tepung Terigu Kemasan,11700
329,2026-06-25,Sawi Putih,8000
330,2026-06-25,Pakcoy,8000
331,2026-06-25,Wortel,14000
332,2026-06-25,Brokoli,21000
333,2026-06-25,Kacang Panjang,8000
334,2026-06-25,Terong,9000
335,2026-06-25,Timun,8000
336,2026-06-25,Tomat,15000
337,2026-06-22,Beras Medium,13346
338,2026-06-22,Gula Pasir Konsumsi,17538
339,2026-06-22,Minyak Goreng Kemasan,21900
340,2026-06-22,Daging Ayam Ras,33263
341,2026-06-22,Telur Ayam Ras,26146
342,2026-06-22,Daging Sapi Murni,155882
343,2026-06-22,Bawang Merah,44607
344,2026-06-22,Cabe Merah Keriting,36955
345,2026-06-22,Cabe Merah Besar,43056
346,2026-06-22,Jagung Pipilan Kering,6475
347,2026-06-22,Kedelai Biji Kering (Impor),11058
348,2026-06-22,Bawang Putih Bonggol,35440
349,2026-06-22,Cabe Rawit Merah,48273
350,2026-06-22,Beras premium,14919
351,2026-06-22,Beras SPHP,12500
352,2026-06-22,Tepung Terigu Kemasan,11521
353,2026-06-22,Sawi Putih,7000
354,2026-06-22,Pakcoy,8000
355,2026-06-22,Wortel,12000
356,2026-06-22,Brokoli,22000
357,2026-06-22,Kacang Panjang,8000
358,2026-06-22,Terong,8000
359,2026-06-22,Timun,7000
360,2026-06-22,Tomat,16000
361,2026-06-15,Beras Medium,13300
362,2026-06-15,Gula Pasir Konsumsi,17574
363,2026-06-15,Minyak Goreng Kemasan,21904
364,2026-06-15,Daging Ayam Ras,31857
365,2026-06-15,Telur Ayam Ras,26100
366,2026-06-15,Daging Sapi Murni,156471
367,2026-06-15,Bawang Merah,49517
368,2026-06-15,Cabe Merah Keriting,39609
369,2026-06-15,Cabe Merah Besar,47444
370,2026-06-15,Jagung Pipilan Kering,6338
371,2026-06-15,Kedelai Biji Kering (Impor),11017
372,2026-06-15,Bawang Putih Bonggol,33333
373,2026-06-15,Cabe Rawit Merah,60261
374,2026-06-15,Beras premium,14906
375,2026-06-15,Beras SPHP,12485
376,2026-06-15,Tepung Terigu Kemasan,11720
377,2026-06-15,Sawi Putih,7000
378,2026-06-15,Pakcoy,8000
