tanggal,varian,harga,sebaran_pasar,n_pasar,satuan,komoditas
2024-02-01,Bawang Bombai,24667.0,2886.8,3,kg,Bawang
2024-02-01,Bawang Merah,24000.0,1000.0,3,kg,Bawang
2024-02-01,Bawang Putih Honan,33667.0,1527.5,3,kg,Bawang
2024-02-01,Bawang Putih Kating,40000.0,1000.0,3,kg,Bawang
2024-02-01,Beras Khusus,22333.0,942.8,2,kg,Beras
2024-02-01,Beras Medium,12912.0,213.6,3,kg,Beras
2024-02-01,Beras Premium,15458.0,648.2,2,kg,Beras
2024-02-01,Beras SPHP Bulog,10867.0,57.7,3,kg,Beras
2024-02-01,Cabai Merah Besar,72889.0,19892.3,3,kg,Cabai
2024-02-01,Cabai Merah Keriting,40556.0,15294.6,3,kg,Cabai
2024-02-01,Cabai Rawit Hijau,36333.0,1527.5,3,kg,Cabai
2024-02-01,Cabai Rawit Merah,34444.0,1895.4,3,kg,Cabai
2024-02-01,Daging Ayam Kampung,102500.0,11456.4,3,ekor,Daging Ayam
2024-02-01,Daging Ayam Ras,34333.0,577.4,3,kg,Daging Ayam
2024-02-01,Daging Sapi Paha Belakang,131667.0,2886.8,3,kg,Daging Ruminansia
2024-02-01,Daging Sapi Paha Depan,121667.0,18929.7,3,kg,Daging Ruminansia
2024-02-01,Daging Sapi Sandung Lamur,82444.0,4233.9,3,kg,Daging Ruminansia
2024-02-01,Daging Sapi Tetelan,70000.0,,1,kg,Daging Ruminansia
2024-02-01,Garam Halus,12333.0,577.4,3,kg,Garam
2024-02-01,Gula Pasir Curah,17000.0,0.0,3,kg,Gula
2024-02-01,Gula Pasir Kemasan,18000.0,0.0,3,kg,Gula
2024-02-01,Ikan Bandeng,45000.0,1414.2,2,kg,Ikan
2024-02-01,Ikan Teri,52333.0,23965.3,3,kg,Ikan
2024-02-01,Ikan Tongkol,36333.0,3055.1,3,kg,Ikan
2024-02-01,Jeruk Lokal,21667.0,2081.7,3,kg,Jeruk
2024-02-01,Kacang Hijau,23000.0,1000.0,3,kg,Kacang-Kacangan
2024-02-01,Kacang Panjang,8000.0,1414.2,2,kg,Kacang Panjang
2024-02-01,Kacang Tanah,30667.0,2516.6,3,kg,Kacang-Kacangan
2024-02-01,Kangkung,7000.0,1414.2,2,kg,Kangkung
2024-02-01,Kedelai Impor,12333.0,763.8,3,kg,Kedelai
2024-02-01,Kedelai Lokal,14667.0,4645.8,3,kg,Kedelai
2024-02-01,Kentang Sedang,22000.0,2828.4,2,kg,Kentang
2024-02-01,Ketela Pohon,7167.0,288.7,3,kg,Ketela Pohon
2024-02-01,Ketimun Sedang,6333.0,1527.5,3,kg,Ketimun
2024-02-01,Mie Instan,3133.0,230.9,3,bks,Mie Instan
2024-02-01,Minyak Goreng Sawit Curah,15278.0,1071.5,3,lt,Minyak Sawit
2024-02-01,Minyak Goreng Sawit Kemasan Premium,18778.0,2269.0,3,lt,Minyak Sawit
2024-02-01,Minyakita,15167.0,288.7,3,lt,Minyak Sawit
2024-02-01,Pisang Lokal,17333.0,4041.5,3,kg,Pisang
2024-02-01,Sawi Hijau,8500.0,707.1,2,kg,Sawi Hijau
2024-02-01,Susu Bubuk,43000.0,,1,400gr,Susu
2024-02-01,Susu Bubuk Balita,39500.0,,1,400gr,Susu
2024-02-01,Susu Kental Manis,14267.0,3060.0,3,370gr,Susu
2024-02-01,Tahu Putih,14944.0,2551.3,3,kg,Kedelai
2024-02-01,Telur Ayam Kampung,54111.0,12249.0,3,kg,Telur Ayam
2024-02-01,Telur Ayam Ras,26167.0,288.7,3,kg,Telur Ayam
2024-02-01,Tempe Bungkus,15333.0,2020.7,3,kg,Kedelai
2024-02-01,Tepung Terigu,10667.0,1154.7,3,kg,Tepung Terigu
2024-02-01,Tomat,22333.0,2516.6,3,kg,Tomat
2024-02-01,Udang Basah,82778.0,1071.5,3,kg,Udang
2024-02-02,Bawang Bombai,25333.0,577.4,3,kg,Bawang
2024-02-02,Bawang Merah,24333.0,1154.7,3,kg,Bawang
2024-02-02,Bawang Putih Honan,33667.0,1527.5,3,kg,Bawang
2024-02-02,Bawang Putih Kating,39667.0,577.4,3,kg,Bawang
2024-02-02,Beras Khusus,22083.0,589.3,2,kg,Beras
2024-02-02,Beras Medium,13072.0,331.0,3,kg,Beras
2024-02-02,Beras Premium,15458.0,648.2,2,kg,Beras
2024-02-02,Beras SPHP Bulog,10867.0,57.7,3,kg,Beras
2024-02-02,Cabai Merah Besar,72889.0,19892.3,3,kg,Cabai
2024-02-02,Cabai Merah Keriting,40556.0,15294.6,3,kg,Cabai
2024-02-02,Cabai Rawit Hijau,37667.0,1527.5,3,kg,Cabai
2024-02-02,Cabai Rawit Merah,34778.0,2341.3,3,kg,Cabai
2024-02-02,Daging Ayam Kampung,104167.0,12332.2,3,ekor,Daging Ayam
2024-02-02,Daging Ayam Ras,34333.0,577.4,3,kg,Daging Ayam
2024-02-02,Daging Sapi Paha Belakang,131667.0,2886.8,3,kg,Daging Ruminansia
2024-02-02,Daging Sapi Paha Depan,121667.0,18929.7,3,kg,Daging Ruminansia
2024-02-02,Daging Sapi Sandung Lamur,81667.0,2886.8,3,kg,Daging Ruminansia
2024-02-02,Daging Sapi Tetelan,55000.0,21213.2,2,kg,Daging Ruminansia
