komoditas,horizon,horizon_minggu,tanggal_data_terakhir,tanggal_target,harga_terkini,titik,lo80,hi80,lo95,hi95,n_sampel_rasio,n_obs_mingguan,prob_naik_5,prob_naik_10,prob_turun_5,lebar80_persen,metode,diambil_pada_utc
Bawang Merah,1 minggu,1,2026-08-16,2026-08-23,31286.0,31286.0,28481.25,34935.87,25459.38,38886.7,227,228,19.4,10.6,17.2,20.6,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Bawang Merah,1 bulan,4,2026-08-16,2026-09-13,31286.0,31286.0,23292.2,41868.39,19553.75,48493.3,224,228,39.7,36.2,33.0,59.4,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Bawang Putih Bonggol,1 minggu,1,2026-08-16,2026-08-23,32720.0,32720.0,31917.87,33943.49,29546.31,37014.5,227,228,6.6,4.0,6.2,6.2,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Bawang Putih Bonggol,1 bulan,4,2026-08-16,2026-09-13,32720.0,32720.0,29717.47,36739.41,26042.45,40924.47,224,228,22.3,12.5,17.0,21.5,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Bawang Putih Kating,1 minggu,1,2025-02-09,2025-02-16,42000.0,42000.0,40961.23,43331.37,38930.09,46014.11,148,149,8.8,2.7,6.1,5.6,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Bawang Putih Kating,1 bulan,4,2025-02-09,2025-03-09,42000.0,42000.0,39027.91,48109.09,37578.95,50640.0,145,149,22.1,15.9,17.2,21.6,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Beras Medium,1 minggu,1,2026-08-16,2026-08-23,13238.0,13238.0,13238.0,13265.3,13007.58,13767.52,227,228,1.3,0.4,0.4,0.2,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Beras Medium,1 bulan,4,2026-08-16,2026-09-13,13238.0,13238.0,13110.71,13767.52,12728.85,14643.81,224,228,5.4,3.1,1.3,5.0,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Beras Termurah,1 minggu,1,2025-10-19,2025-10-26,12500.0,12500.0,12500.0,12500.0,12500.0,12691.95,184,185,2.2,1.6,0.5,0.0,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Beras Termurah,1 bulan,4,2025-10-19,2025-11-16,12500.0,12500.0,12500.0,12500.0,12301.23,14467.59,181,185,8.8,6.6,0.6,0.0,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Beras premium,1 minggu,1,2026-08-16,2026-08-23,14962.0,14962.0,14962.0,14985.27,14809.89,15684.08,227,228,2.6,0.9,1.3,0.2,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Beras premium,1 bulan,4,2026-08-16,2026-09-13,14962.0,14962.0,14950.15,15496.36,14511.77,16386.95,224,228,7.1,1.8,0.9,3.7,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Cabe Merah Besar,1 minggu,1,2026-08-16,2026-08-23,38611.0,38611.0,32993.27,45404.76,26075.3,52094.89,227,228,27.3,22.9,26.0,32.1,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Cabe Merah Besar,1 bulan,4,2026-08-16,2026-09-13,38611.0,38611.0,27579.29,51481.33,21985.29,76164.79,224,228,42.9,37.9,36.6,61.9,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Cabe Merah Keriting,1 minggu,1,2026-08-16,2026-08-23,32130.0,32130.0,24509.52,41493.6,20200.88,55481.62,227,228,37.0,28.6,33.5,52.9,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Cabe Merah Keriting,1 bulan,4,2026-08-16,2026-09-13,32130.0,32130.0,20868.21,47756.86,16032.87,86607.56,224,228,38.8,33.9,42.4,83.7,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Cabe Rawit Merah,1 minggu,1,2026-08-16,2026-08-23,42304.0,42304.0,31606.2,57032.31,24471.24,68406.71,227,228,37.4,30.4,41.0,60.1,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Cabe Rawit Merah,1 bulan,4,2026-08-16,2026-09-13,42304.0,42304.0,22446.0,84608.0,16297.5,135330.39,224,228,46.9,42.9,47.3,146.9,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Daging Ayam Ras,1 minggu,1,2026-08-16,2026-08-23,39250.0,39250.0,37104.8,41587.05,34929.06,44341.87,227,228,15.0,4.0,11.0,11.4,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Daging Ayam Ras,1 bulan,4,2026-08-16,2026-09-13,39250.0,39250.0,35713.3,43827.39,30554.58,49965.99,224,228,25.4,11.2,25.0,20.7,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Daging Sapi Murni,1 minggu,1,2026-08-16,2026-08-23,157059.0,157059.0,157059.0,157177.04,155722.9,163099.73,227,228,1.8,0.0,0.0,0.1,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Daging Sapi Murni,1 bulan,4,2026-08-16,2026-09-13,157059.0,157059.0,157059.0,158233.94,155192.17,166017.2,224,228,4.0,0.4,0.0,0.7,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Gula Pasir Konsumsi,1 minggu,1,2026-08-16,2026-08-23,17852.0,17852.0,17785.38,17953.13,17326.94,18522.09,227,228,1.8,0.0,0.4,0.9,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Gula Pasir Konsumsi,1 bulan,4,2026-08-16,2026-09-13,17852.0,17852.0,17331.44,18538.62,17190.81,19078.26,224,228,8.0,0.4,2.2,6.8,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Jagung Pipilan Kering,1 minggu,1,2026-08-16,2026-08-23,6450.0,6450.0,6450.0,6450.0,6404.74,6533.33,227,228,0.9,0.9,0.4,0.0,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Jagung Pipilan Kering,1 bulan,4,2026-08-16,2026-09-13,6450.0,6450.0,6450.0,6482.99,6212.6,7371.43,224,228,3.6,3.6,2.2,0.5,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Kedelai Biji Kering (Impor),1 minggu,1,2026-08-16,2026-08-23,10925.0,10925.0,10925.0,10980.62,10305.23,11390.98,227,228,1.8,0.4,2.6,0.5,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Kedelai Biji Kering (Impor),1 bulan,4,2026-08-16,2026-09-13,10925.0,10925.0,10076.46,11400.0,9468.33,12003.6,224,228,8.9,2.7,11.6,12.1,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Minyak Goreng Curah,1 minggu,1,2026-01-25,2026-02-01,16484.0,16484.0,16283.1,16643.83,15506.78,17522.84,196,197,3.1,0.0,3.1,2.2,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Minyak Goreng Curah,1 bulan,4,2026-01-25,2026-02-22,16484.0,16484.0,15453.75,17582.93,15160.53,17773.13,193,197,13.0,1.6,11.4,12.9,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Minyak Goreng Kemasan,1 minggu,1,2026-08-16,2026-08-23,21680.0,21680.0,21567.58,22024.47,19845.84,23228.57,227,228,5.3,1.3,4.4,2.1,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Minyak Goreng Kemasan,1 bulan,4,2026-08-16,2026-09-13,21680.0,21680.0,20234.67,23228.57,16862.22,25025.27,224,228,15.6,4.9,11.2,13.8,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Telur Ayam Ras,1 minggu,1,2026-08-16,2026-08-23,24940.0,24940.0,24016.3,26369.87,23089.56,27299.4,227,228,10.6,2.2,7.5,9.4,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Telur Ayam Ras,1 bulan,4,2026-08-16,2026-09-13,24940.0,24940.0,22446.0,27704.33,21721.94,28776.92,224,228,25.9,11.6,20.5,21.1,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Terigu,1 minggu,1,2026-01-25,2026-02-01,8795.0,8795.0,8795.0,8795.0,7915.5,9259.82,198,199,3.0,2.0,3.0,0.0,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Terigu,1 bulan,4,2026-01-25,2026-02-22,8795.0,8795.0,8795.0,8795.0,7915.5,9283.61,195,199,5.6,1.5,4.1,0.0,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Ubi Jalar,1 minggu,1,2025-02-09,2025-02-16,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,148,149,0.7,0.7,0.0,0.0,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
Ubi Jalar,1 bulan,4,2025-02-09,2025-03-09,8000.0,8000.0,8000.0,8000.0,8000.0,9920.0,145,149,2.8,2.8,0.0,0.0,random walk + kuantil empiris nonparametrik,2026-08-31T02:03:22.354009+00:00
