periode,periode_kode,periode_mulai,periode_selesai,provinsi,kabupaten_kota,kecamatan,kode_wilayah,bera_ha,persiapan_lahan_ha,tanam_ha,vegetatif_1_ha,vegetatif_2_ha,generatif_1_ha,generatif_2_ha,panen_ha,standing_crop_ha,luas_baku_sawah_ha,total_luas_ha,sumber_layer,diambil_pada_utc
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Bantul,Bambanglipuro,340205,262.44,87.39,111.9,115.2,98.42,153.04,152.05,21.54,630.6,1001.973,1001.98,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Bantul,Banguntapan,340212,138.85,49.25,30.24,30.47,36.33,122.09,195.16,44.18,414.29,646.576,646.57,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Bantul,Bantul,340208,201.45,181.12,121.37,82.79,18.47,50.05,163.21,86.9,435.88,905.351,905.36,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Bantul,Dlingo,340211,73.03,4.8,12.59,141.39,102.31,179.36,202.8,24.06,638.45,740.338,740.34,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Bantul,Imogiri,340210,210.64,65.69,72.81,151.89,151.35,298.95,338.1,79.56,1013.1,1369.003,1368.99,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Bantul,Jetis,340209,124.06,58.89,50.88,72.41,181.63,229.24,316.48,52.06,850.65,1085.666,1085.65,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Bantul,Kasihan,340216,116.28,53.72,31.48,36.58,18.07,63.92,101.81,37.01,251.85,458.867,458.87,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Bantul,Kretek,340203,224.17,6.78,32.45,112.2,225.35,145.74,117.95,16.91,633.7,881.559,881.55,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Bantul,Pajangan,340207,40.31,18.16,12.12,30.18,25.3,56.08,78.38,15.92,202.06,276.452,276.45,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Bantul,Pandak,340206,218.44,180.49,70.77,61.06,35.43,102.1,138.13,28.71,407.49,835.129,835.13,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Bantul,Piyungan,340214,148.41,29.9,55.15,99.82,64.43,275.69,189.15,39.38,684.24,901.925,901.93,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Bantul,Pleret,340213,121.7,49.29,14.29,37.01,64.32,149.7,166.05,35.29,431.37,637.649,637.65,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Bantul,Pundong,340204,69.9,16.61,37.85,109.15,172.62,139.22,189.77,18.81,648.61,753.93,753.93,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Bantul,Sanden,340202,235.52,66.61,46.31,168.4,170.83,79.92,148.2,59.37,613.67,975.17,975.16,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Bantul,Sedayu,340217,164.11,31.94,31.4,41.82,17.18,245.37,192.13,38.02,527.89,761.966,761.97,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Bantul,Sewon,340215,208.03,157.5,107.21,101.48,42.36,114.68,201.18,71.52,566.9,1003.962,1003.96,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Bantul,Srandakan,340201,88.28,33.63,51.83,103.75,46.55,81.05,59.89,19.87,343.06,484.835,484.85,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Gunungkidul,Gedangsari,340314,41.12,1.3,6.29,24.3,80.51,356.33,420.24,16.17,887.67,946.265,946.26,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Gunungkidul,Girisubo,340316,113.33,13.63,29.56,462.71,543.06,361.29,351.39,34.1,1748.02,1909.082,1909.07,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Gunungkidul,Karangmojo,340309,40.88,5.44,22.58,326.69,410.01,537.76,335.59,11.54,1632.63,1690.489,1690.49,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Gunungkidul,Ngawen,340313,41.45,0.44,2.0,21.56,190.9,498.68,585.13,30.56,1298.27,1370.717,1370.72,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Gunungkidul,Nglipar,340302,19.84,0.72,2.8,38.08,120.81,298.19,348.83,18.4,808.71,847.673,847.67,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Gunungkidul,Paliyan,340305,12.67,0.81,28.25,368.17,276.23,208.02,178.56,6.3,1059.22,1078.999,1079.01,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Gunungkidul,Panggang,340306,104.54,2.94,7.69,121.81,192.51,165.03,321.17,66.85,808.21,982.541,982.54,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Gunungkidul,Patuk,340304,46.1,6.64,16.17,44.29,133.47,396.86,277.28,17.65,868.08,938.476,938.46,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Gunungkidul,Playen,340303,7.25,1.05,14.51,269.67,295.66,403.43,251.75,3.97,1235.02,1247.3,1247.29,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Gunungkidul,Ponjong,340310,163.04,14.39,27.71,377.99,465.14,499.81,465.43,28.01,1836.08,2041.525,2041.52,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Gunungkidul,Purwosari,340318,55.48,2.32,5.25,78.43,107.24,116.82,178.78,31.31,486.52,575.634,575.63,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Gunungkidul,Rongkop,340311,79.08,9.82,42.36,408.97,562.35,450.13,426.46,21.18,1890.27,2000.347,2000.35,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Gunungkidul,Saptosari,340315,106.73,5.02,6.72,104.0,242.55,226.9,324.85,65.47,905.02,1082.245,1082.24,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Gunungkidul,Semanu,340308,123.67,11.41,55.32,519.92,529.62,707.36,750.47,26.49,2562.71,2724.278,2724.26,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Gunungkidul,Semin,340312,77.2,0.74,4.9,28.92,203.53,779.33,973.8,69.36,1990.48,2137.768,2137.78,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
01 - 12 Januari 2024,202401,2024-01-01,2024-01-12,Daerah Istimewa Yogyakarta,Gunungkidul,Tanjungsari,340317,89.88,5.31,20.93,246.36,319.45,317.58,387.07,34.59,1291.39,1421.168,1421.17,simotandi.pertanian.go.id/data-tabular,2026-08-31T00:25:41.000271+00:00
